                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.52115,                0.92419,                 2.4856,                0.95448,                0.00333,                      1,                0.30444,                0.20265,                0.00333,                      1,                0.31724,                0.24604,                  1.423,                  2.854,                 3.3215,                 1.8481,                0.00042,                0.00042,                0.00042
                      2,                0.53494,                0.44093,                 1.5101,                0.94346,                 0.0077,                      1,                 0.7162,                0.53847,                 0.0077,                      1,                0.59922,                0.41054,                0.65778,                 3.6488,                  3.042,                 1.1586,             0.00085149,             0.00085149,             0.00085149
                      3,                 0.5277,                0.47381,                 1.1888,                 0.9335,                0.93248,                0.28793,                0.58776,                0.44721,                0.93214,                0.28644,                0.53921,                0.16307,                0.80934,                 9.1722,                 2.5237,                 1.2813,              0.0012743,              0.0012743,              0.0012743
                      4,                0.54257,                0.45717,                 1.0147,                0.93899,                0.86582,                0.53785,                0.73955,                 0.5427,                0.56471,                 0.3125,                0.30906,                0.10383,                0.94691,                 31.133,                 1.9857,                  1.291,              0.0016883,              0.0016883,              0.0016883
                      5,                0.53756,                0.46311,                0.90474,                0.94606,                0.98906,                 0.8125,                0.86211,                0.76607,                0.45297,                 0.3125,                0.27074,                0.05924,                 0.5828,                 47.916,                  1.517,                 1.0432,              0.0019208,              0.0019208,              0.0019208
                      6,                0.54429,                0.46199,                0.82895,                0.95196,                0.62753,                0.54167,                0.60357,                0.39851,                0.56118,                 0.4375,                0.51975,                0.20923,                 1.1254,                 3.7256,                 2.0536,                 1.5153,               0.001901,               0.001901,               0.001901
                      7,                0.53323,                0.43692,                0.72565,                0.94735,                0.87837,                   0.75,                 0.9076,                 0.7591,                0.87837,                   0.75,                 0.9076,                0.72402,                0.60841,                   2.42,                 1.7112,                 1.0666,              0.0018812,              0.0018812,              0.0018812
                      8,                0.51965,                0.47038,                0.63262,                0.93228,                0.98265,                0.91667,                0.97824,                0.89468,                0.98265,                0.91667,                0.95358,                0.49304,                0.40046,                 4.2324,                 1.0772,                0.90881,              0.0018614,              0.0018614,              0.0018614
                      9,                0.49017,                0.41269,                0.57559,                0.92485,                0.97948,                0.99442,                0.99418,                0.91116,                0.97948,                0.99442,                0.99418,                0.95413,                0.40486,                0.45322,                0.47523,                0.89422,              0.0018416,              0.0018416,              0.0018416
                     10,                0.46406,                0.38247,                  0.505,                0.91144,                0.95447,                0.87359,                 0.9566,                 0.8098,                0.95447,                0.87359,                 0.9566,                0.72668,                0.50322,                 2.8116,                0.86311,                0.97283,              0.0018218,              0.0018218,              0.0018218
                     11,                0.44504,                0.39844,                0.46554,                 0.9125,                      1,                0.68167,                0.86247,                0.74055,                0.94911,                0.77716,                0.88616,                0.78105,                0.54153,                0.56258,                0.91894,                  1.014,               0.001802,               0.001802,               0.001802
                     12,                0.46531,                0.38122,                  0.473,                0.92174,                0.99862,                      1,                  0.995,                0.95706,                0.99862,                      1,                  0.995,                0.97785,                0.36095,                0.28971,                 0.3477,                0.89415,              0.0017822,              0.0017822,              0.0017822
                     13,                0.44964,                 0.3654,                0.44258,                0.91046,                0.99844,                      1,                  0.995,                0.96576,                0.99844,                      1,                  0.995,                0.99264,                0.30497,                0.24666,                0.29691,                0.84048,              0.0017624,              0.0017624,              0.0017624
                     14,                0.45453,                0.39158,                 0.4441,                0.91616,                0.97761,                      1,                  0.995,                0.95801,                0.97761,                      1,                  0.995,                0.98746,                0.32883,                0.23625,                0.44437,                0.85798,              0.0017426,              0.0017426,              0.0017426
                     15,                0.43262,                0.36043,                0.40558,                0.90178,                0.99731,                      1,                  0.995,                0.94382,                0.99731,                      1,                  0.995,                0.98622,                0.32507,                0.23426,                0.29649,                0.85937,              0.0017228,              0.0017228,              0.0017228
                     16,                 0.4289,                0.34384,                0.41063,                0.91068,                0.99316,                      1,                  0.995,                0.96116,                0.99316,                      1,                  0.995,                0.98545,                0.30776,                0.32516,                0.28699,                0.84978,               0.001703,               0.001703,               0.001703
                     17,                0.42271,                0.34484,                0.38554,                0.89543,                0.99661,                      1,                  0.995,                0.96771,                0.99661,                      1,                  0.995,                  0.995,                0.27153,                0.22007,                0.33126,                0.81878,              0.0016832,              0.0016832,              0.0016832
                     18,                0.40623,                0.34244,                0.39735,                0.90339,                0.97859,                0.95254,                0.98416,                 0.9264,                0.97859,                0.95254,                0.98416,                0.96799,                0.32014,                0.23221,                 0.3612,                0.84959,              0.0016634,              0.0016634,              0.0016634
                     19,                0.40818,                0.31977,                0.37913,                0.89649,                0.99759,                      1,                  0.995,                0.97094,                0.99759,                      1,                  0.995,                0.99307,                0.30615,                0.21703,                0.43565,                0.82959,              0.0016436,              0.0016436,              0.0016436
                     20,                0.40616,                0.32032,                0.38397,                0.90026,                0.99541,                      1,                  0.995,                0.98714,                0.99541,                      1,                  0.995,                  0.995,                0.24933,                0.20596,                 0.2546,                0.80935,              0.0016238,              0.0016238,              0.0016238
                     21,                0.39551,                 0.3658,                 0.3602,                0.87979,                0.97609,                      1,                0.99337,                0.96606,                0.97609,                      1,                0.99337,                0.99147,                 0.2733,                0.22271,                0.34643,                0.82176,               0.001604,               0.001604,               0.001604
                     22,                0.38215,                0.35916,                0.34427,                 0.8793,                0.99886,                      1,                  0.995,                0.99339,                0.99886,                      1,                  0.995,                  0.995,                0.23255,                0.23838,                 0.2298,                0.79765,              0.0015842,              0.0015842,              0.0015842
                     23,                0.38739,                0.32302,                0.34751,                 0.8966,                0.99823,                      1,                  0.995,                0.98651,                0.99823,                      1,                  0.995,                  0.995,                0.25863,                0.21188,                0.23729,                0.81112,              0.0015644,              0.0015644,              0.0015644
                     24,                0.38475,                0.34333,                0.34581,                0.88336,                0.99741,                      1,                  0.995,                0.96945,                0.99741,                      1,                  0.995,                0.99315,                0.26552,                0.20917,                0.21048,                 0.8205,              0.0015446,              0.0015446,              0.0015446
                     25,                0.38662,                0.30495,                0.31622,                0.88938,                0.99584,                0.97917,                 0.9942,                0.97259,                0.99584,                0.97917,                 0.9942,                0.99232,                0.27442,                 0.2011,                 0.2487,                0.82559,              0.0015248,              0.0015248,              0.0015248
                     26,                0.39186,                0.35549,                0.32549,                0.88917,                0.99632,                      1,                  0.995,                0.98815,                0.99632,                      1,                  0.995,                  0.995,                0.22163,                 0.2109,                0.22017,                0.80368,               0.001505,               0.001505,               0.001505
                     27,                0.34987,                0.29802,                0.30427,                 0.8829,                0.99816,                      1,                  0.995,                0.98134,                0.99816,                      1,                  0.995,                  0.995,                0.22934,                0.19132,                0.20867,                0.79412,              0.0014852,              0.0014852,              0.0014852
                     28,                0.34808,                0.29485,                0.29541,                0.86869,                0.99865,                      1,                  0.995,                  0.995,                0.99865,                      1,                  0.995,                  0.995,                0.21286,                0.19441,                0.20439,                 0.7924,              0.0014654,              0.0014654,              0.0014654
                     29,                0.35315,                0.28551,                0.30133,                0.87695,                0.99738,                      1,                  0.995,                0.97869,                0.99738,                      1,                  0.995,                  0.995,                 0.2319,                0.18054,                0.21885,                0.81415,              0.0014456,              0.0014456,              0.0014456
                     30,                 0.3452,                0.28711,                0.29057,                0.86974,                0.99876,                      1,                  0.995,                0.96781,                0.99876,                      1,                  0.995,                  0.995,                  0.263,                0.18558,                0.20979,                0.81684,              0.0014258,              0.0014258,              0.0014258
                     31,                0.32963,                0.28373,                0.28931,                0.86485,                0.99866,                      1,                  0.995,                0.96354,                0.99866,                      1,                  0.995,                  0.995,                0.24413,                0.18777,                 0.2267,                0.80103,               0.001406,               0.001406,               0.001406
                     32,                0.35772,                0.31732,                0.31507,                0.88404,                0.99886,                      1,                  0.995,                 0.9737,                0.99886,                      1,                  0.995,                  0.995,                0.24119,                0.19559,                0.21385,                0.80395,              0.0013862,              0.0013862,              0.0013862
                     33,                0.35992,                0.30856,                 0.3218,                0.87995,                0.99894,                0.97917,                0.99459,                0.98849,                0.99894,                0.97917,                0.99459,                 0.9915,                0.23496,                0.21884,                0.24371,                0.80717,              0.0013664,              0.0013664,              0.0013664
                     34,                0.33422,                0.31268,                0.29414,                0.87004,                0.99886,                      1,                  0.995,                0.98816,                0.99886,                      1,                  0.995,                  0.995,                0.22642,                0.18105,                0.18687,                0.79147,              0.0013466,              0.0013466,              0.0013466
                     35,                0.33784,                0.28661,                 0.2833,                0.87713,                0.99864,                      1,                  0.995,                  0.995,                0.99864,                      1,                  0.995,                  0.995,                0.22363,                0.19592,                0.19051,                0.79534,              0.0013268,              0.0013268,              0.0013268
                     36,                  0.327,                  0.305,                0.28616,                0.86856,                0.99889,                      1,                  0.995,                0.98619,                0.99889,                      1,                  0.995,                  0.995,                0.24624,                0.19378,                0.19131,                0.79844,               0.001307,               0.001307,               0.001307
                     37,                0.31589,                0.27449,                0.27401,                0.86529,                0.99892,                      1,                  0.995,                 0.9736,                0.99892,                      1,                  0.995,                0.98948,                0.19819,                0.18603,                0.18778,                0.78186,              0.0012872,              0.0012872,              0.0012872
                     38,                0.32389,                0.28554,                0.28263,                 0.8585,                0.99778,                      1,                  0.995,                0.98993,                0.99778,                      1,                  0.995,                  0.995,                0.19975,                 0.1881,                0.16589,                0.78461,              0.0012674,              0.0012674,              0.0012674
                     39,                0.30283,                 0.2814,                0.26596,                0.85664,                0.99871,                      1,                  0.995,                0.99283,                0.99871,                      1,                  0.995,                  0.995,                0.19471,                0.17889,                0.16369,                0.77958,              0.0012476,              0.0012476,              0.0012476
                     40,                0.32032,                0.28409,                0.26793,                0.87594,                0.99887,                      1,                  0.995,                0.99073,                0.99887,                      1,                  0.995,                0.99356,                0.22764,                0.19133,                0.19506,                0.80112,              0.0012278,              0.0012278,              0.0012278
                     41,                0.32159,                0.27479,                0.26909,                 0.8689,                0.99791,                      1,                  0.995,                  0.995,                0.99791,                      1,                  0.995,                  0.995,                0.20205,                0.18355,                0.17603,                0.78794,               0.001208,               0.001208,               0.001208
                     42,                0.31765,                  0.305,                0.27184,                0.86794,                      1,                0.99863,                  0.995,                0.98474,                      1,                0.99863,                  0.995,                  0.995,                0.25039,                0.18785,                0.24135,                 0.8014,              0.0011882,              0.0011882,              0.0011882
                     43,                0.32618,                0.27105,                0.26503,                0.86355,                0.99655,                      1,                  0.995,                0.99042,                0.99655,                      1,                  0.995,                  0.995,                0.23947,                0.17868,                0.24521,                0.79751,              0.0011684,              0.0011684,              0.0011684
                     44,                0.30157,                0.27603,                0.24809,                0.86689,                0.99871,                      1,                  0.995,                0.99146,                0.99871,                      1,                  0.995,                  0.995,                0.19033,                0.22017,                0.16668,                0.78152,              0.0011486,              0.0011486,              0.0011486
                     45,                0.31213,                0.29071,                0.25238,                0.87091,                 0.9955,                      1,                  0.995,                 0.9919,                 0.9955,                      1,                  0.995,                  0.995,                0.19604,                0.17393,                0.22151,                 0.7874,              0.0011288,              0.0011288,              0.0011288
                     46,                0.30788,                0.29693,                0.25492,                0.86205,                 0.9979,                      1,                  0.995,                0.98871,                 0.9979,                      1,                  0.995,                0.99386,                0.21539,                0.17578,                0.21241,                0.79085,               0.001109,               0.001109,               0.001109
                     47,                0.30956,                0.28443,                0.25961,                0.87977,                0.99553,                      1,                  0.995,                0.98802,                0.99553,                      1,                  0.995,                 0.9889,                0.22499,                0.17278,                0.16919,                 0.8371,              0.0010892,              0.0010892,              0.0010892
                     48,                0.30847,                0.29093,                  0.259,                0.85955,                0.99889,                      1,                  0.995,                  0.995,                0.99889,                      1,                  0.995,                  0.995,                0.17334,                0.18015,                0.14987,                 0.7757,              0.0010694,              0.0010694,              0.0010694
                     49,                0.31449,                0.26637,                0.24708,                0.86255,                0.99887,                      1,                  0.995,                  0.995,                0.99887,                      1,                  0.995,                  0.995,                0.18461,                0.17252,                0.17242,                0.78147,              0.0010496,              0.0010496,              0.0010496
                     50,                0.29079,                0.25027,                 0.2392,                0.85366,                 0.9989,                      1,                  0.995,                  0.995,                 0.9989,                      1,                  0.995,                  0.995,                 0.1996,                0.16739,                0.15852,                0.78582,              0.0010298,              0.0010298,              0.0010298
                     51,                0.29338,                0.27442,                0.23624,                0.85681,                0.99886,                      1,                  0.995,                0.99363,                0.99886,                      1,                  0.995,                  0.995,                0.17055,                 0.1635,                0.14415,                0.77772,                0.00101,                0.00101,                0.00101
                     52,                0.30449,                 0.2711,                0.24831,                0.86015,                0.99883,                      1,                  0.995,                0.99137,                0.99883,                      1,                  0.995,                  0.995,                0.17351,                0.15788,                0.18504,                0.78468,              0.0009902,              0.0009902,              0.0009902
                     53,                0.28415,                 0.2545,                0.23656,                0.85988,                0.99862,                      1,                  0.995,                0.99215,                0.99862,                      1,                  0.995,                  0.995,                0.17641,                0.19175,                0.15833,                0.78131,              0.0009704,              0.0009704,              0.0009704
                     54,                0.28472,                0.24095,                0.22871,                0.86342,                0.99305,                      1,                  0.995,                0.99228,                0.99305,                      1,                  0.995,                  0.995,                0.17439,                0.16362,                0.16158,                0.77999,              0.0009506,              0.0009506,              0.0009506
                     55,                 0.2931,                0.27374,                 0.2477,                0.85432,                0.99868,                      1,                  0.995,                  0.995,                0.99868,                      1,                  0.995,                  0.995,                0.18073,                0.18597,                0.16133,                0.77794,              0.0009308,              0.0009308,              0.0009308
                     56,                0.27447,                0.26943,                0.23073,                0.85704,                0.99889,                      1,                  0.995,                0.99329,                0.99889,                      1,                  0.995,                  0.995,                 0.1462,                0.15671,                 0.1315,                 0.7701,               0.000911,               0.000911,               0.000911
                     57,                0.28117,                0.27692,                0.22415,                0.86153,                0.99884,                      1,                  0.995,                  0.995,                0.99884,                      1,                  0.995,                  0.995,                 0.1678,                0.14945,                0.15728,                0.77576,              0.0008912,              0.0008912,              0.0008912
                     58,                0.27378,                0.24317,                0.22869,                0.85219,                0.99884,                      1,                  0.995,                  0.995,                0.99884,                      1,                  0.995,                  0.995,                0.16427,                0.16066,                0.14552,                0.77216,              0.0008714,              0.0008714,              0.0008714
                     59,                0.28078,                0.24131,                0.24121,                 0.8593,                0.99883,                      1,                  0.995,                  0.995,                0.99883,                      1,                  0.995,                  0.995,                0.17122,                0.15229,                0.15403,                0.77686,              0.0008516,              0.0008516,              0.0008516
                     60,                0.27135,                0.22824,                0.23021,                0.85969,                 0.9968,                      1,                  0.995,                  0.995,                 0.9968,                      1,                  0.995,                  0.995,                0.15105,                0.16465,                0.12548,                0.77158,              0.0008318,              0.0008318,              0.0008318
                     61,                0.26908,                0.23843,                0.22106,                0.85144,                0.99889,                      1,                  0.995,                0.99389,                0.99889,                      1,                  0.995,                  0.995,                0.17477,                0.15529,                0.15005,                0.78056,               0.000812,               0.000812,               0.000812
                     62,                0.27324,                0.24241,                0.22809,                0.85232,                0.99889,                      1,                  0.995,                  0.995,                0.99889,                      1,                  0.995,                  0.995,                0.15429,                0.16596,                0.13456,                0.77102,              0.0007922,              0.0007922,              0.0007922
                     63,                 0.2586,                0.25944,                0.21167,                0.84111,                0.99885,                      1,                  0.995,                  0.995,                0.99885,                      1,                  0.995,                  0.995,                 0.1655,                0.15517,                 0.1395,                 0.7771,              0.0007724,              0.0007724,              0.0007724
                     64,                0.25548,                0.24642,                0.21522,                0.85247,                 0.9989,                      1,                  0.995,                0.99409,                 0.9989,                      1,                  0.995,                  0.995,                0.17145,                0.16945,                0.15351,                0.77966,              0.0007526,              0.0007526,              0.0007526
