                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7416,                  4.482,                 5.0663,                 2.0998,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.6111,                 4.2078,                 4.8088,                  2.231,              3.156e-05,              3.156e-05,              3.156e-05
                      2,                 2.3647,                 3.9108,                 4.9323,                 1.7834,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.9499,                  3.447,                 4.7028,                 1.6399,             6.7703e-05,             6.7703e-05,             6.7703e-05
                      3,                 1.9059,                 3.1585,                 4.5091,                 1.3847,                0.00729,                0.00155,                0.00471,                0.00281,                      0,                      0,                      0,                      0,                 1.5812,                 3.0887,                 4.4481,                 1.2506,             0.00010312,             0.00010312,             0.00010312
                      4,                 1.7327,                   2.72,                 3.8948,                  1.215,                0.02047,                0.06555,                0.06061,                0.03102,                0.01049,                0.03733,                0.02694,                0.00288,                  1.482,                 2.5473,                  4.211,                 1.1528,              0.0001378,              0.0001378,              0.0001378
                      5,                 1.6082,                 2.3136,                 3.0222,                 1.1445,                0.05137,                0.26119,                0.17579,                0.10585,                0.04814,                0.25944,                0.16354,                0.07509,                 1.4757,                 2.4598,                 3.9526,                 1.1503,             0.00017176,             0.00017176,             0.00017176
                      6,                 1.5233,                 2.1051,                 2.2661,                 1.1196,                0.07256,                0.35347,                0.21874,                0.13842,                0.06557,                0.33644,                0.19695,                0.08553,                 1.3682,                  2.344,                 3.6958,                 1.1029,             0.00020498,             0.00020498,             0.00020498
                      7,                 1.4325,                 1.9784,                 1.8784,                 1.1027,                0.09756,                0.42981,                 0.2694,                0.17443,                0.08564,                0.36982,                0.24044,                0.10626,                 1.3662,                 2.4311,                 3.6505,                 1.1025,             0.00023748,             0.00023748,             0.00023748
                      8,                 1.3571,                 1.9072,                 1.6473,                 1.0575,                0.09976,                0.59772,                0.42446,                0.26858,                0.09205,                0.54375,                0.40163,                0.17497,                 1.3363,                 2.1715,                 3.4219,                 1.0888,             0.00026925,             0.00026925,             0.00026925
                      9,                 1.3177,                 1.8567,                 1.4559,                 1.0405,                0.09404,                0.60644,                0.45254,                0.28358,                 0.0877,                0.54481,                0.42919,                0.18036,                 1.2939,                 2.1091,                 3.2924,                 1.0706,             0.00030029,             0.00030029,             0.00030029
                     10,                 1.2451,                 1.7878,                 1.3351,                 1.0268,                0.11648,                0.76253,                0.57884,                0.33788,                0.10507,                0.67257,                0.53424,                0.25165,                 1.3019,                 1.9751,                 3.1064,                 1.0575,              0.0003306,              0.0003306,              0.0003306
                     11,                 1.2034,                 1.7218,                  1.214,                      1,                0.12561,                0.84634,                0.70174,                0.44283,                 0.1179,                0.79993,                0.67709,                0.33871,                 1.2733,                 1.8533,                 2.9274,                 1.0374,             0.00036018,             0.00036018,             0.00036018
                     12,                 1.1824,                 1.6878,                 1.1256,                0.99561,                0.09771,                 0.8833,                0.75701,                0.46991,                 0.0887,                0.81621,                 0.7043,                0.35206,                 1.2305,                 1.7944,                 2.7007,                 1.0368,             0.00038904,             0.00038904,             0.00038904
                     13,                 1.1653,                 1.6863,                 1.1274,                0.99547,                0.08783,                0.90404,                0.79249,                0.49879,                0.07908,                0.80788,                0.68409,                 0.3124,                 1.2715,                 1.8503,                 2.5347,                 1.0599,             0.00041716,             0.00041716,             0.00041716
